MASTERS 2026 SWEEPSTAKE,,,,,,,,,,
,,,,,,,,,,
Click here for Rules and Instructions,,,,,,,,,,
,,,,,,,,,,
Enter your team details below,,,,,,Group 1,Group 2,Group 3,Group 4,Group 5
Your Name,,,,,,Scottie Scheffler,Matt Fitzpatrick,Hideki Matsuyama,Corey Conners,Max Homa
Team Name,,,,,,Jon Rahm,Cameron Young,Patrick Reed,Marco Penge,Rasmus Højgaard
Group 1 Pick,,,,,,Bryson DeChambeau,Tommy Fleetwood,Jordan Spieth,Wyndham Clark,Ben Griffin
Group 2 Pick,,,,,,Rory McIlroy,Collin Morikawa,Viktor Hovland,Sahith Theegala,Kurt Kitayama
Group 3 Pick,,,,,,Xander Schauffele,Brooks Koepka,Patrick Cantlay,Harris English,Aaron Rai
Group 4 Pick,,,,,,Ludvig Åberg,Justin Rose,Shane Lowry,Cameron Smith,Ryan Fox
Group 5 Pick,,,,,,,Robert MacIntyre,Akshay Bhatia,Jason Day,Nicolai Højgaard
,,,,,,,Min Woo Lee,Justin Thomas,Maverick McNealy,Adam Scott
,,,,,,,,Tyrrell Hatton,Brian Harman,Sergio Garcia
,,,,,,,,Sam Burns,Gary Woodland,Fred Couples
,,,,,,,,,Tony Finau,Mike Weir
,,,,,,,,,Sungjae Im,Sandy Lyle
,,,,,,,,,,
Bonus Shot Questions,,,,,,,,,,
What will be the winning score (total under par)?,,,,,,,,,,
How many players will finish under par?,,,,,,,,,,
Will there be a hole in one?,,,,,,,,,,
